"DP1"	"DP2"	"DP3"	"DN1"	"DN2"	"DN3"
"KEGG_N_GLYCAN_BIOSYNTHESIS"	0.0327135854752427	0.034409315306577	0.0347000038305234	-0.00727623019409118	-0.00131167518990742	-0.000191844623728241
"KEGG_OTHER_GLYCAN_DEGRADATION"	-0.161380092395367	-0.164183229054506	-0.171958725664291	-0.101490875433063	-0.114366537675141	-0.104049027337032
"KEGG_O_GLYCAN_BIOSYNTHESIS"	-0.0525551989207454	-0.0530593071073196	-0.0523078957690456	0.00409199113508968	0.00177310107271657	-0.00283383206549368
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"	-0.187330408352771	-0.190013059390992	-0.192717541291705	-0.170982567154364	-0.165382624513766	-0.161975863733284
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"	-0.195438992814374	-0.199603492392402	-0.208553448592157	-0.169557502085917	-0.172633363983823	-0.177370555159221
"KEGG_GLYCEROLIPID_METABOLISM"	-0.0547509353543965	-0.0481727895169992	-0.0496835885641454	-0.0263531551267748	-0.0220308795496265	-0.0269874721794871
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"	-0.184967831306312	-0.175255290914742	-0.182717762730292	-0.198584527570846	-0.194620514784405	-0.190188618954586
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"	-0.0294479579691109	-0.0258312931031794	-0.0229886388617479	-0.0299211109557661	-0.0287502308932476	-0.0256743759518308
"KEGG_ETHER_LIPID_METABOLISM"	0.0207101124712731	0.0149401188234956	0.0248503775175611	0.0216463102495798	0.0218676045377523	0.0308875974289975
"KEGG_ARACHIDONIC_ACID_METABOLISM"	0.0687761253242681	0.0660073357045981	0.063486128372136	-0.0109137600039323	-0.0160062179656938	0.00604495890762992
"KEGG_LINOLEIC_ACID_METABOLISM"	-0.139398683291893	-0.145403204430884	-0.150403792248101	-0.237079977968465	-0.27490713165848	-0.21356799910145
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM"	-0.0702971878970577	-0.0575173434006216	-0.0791390989357838	-0.130668032446213	-0.139652081904977	-0.108634425069279
"KEGG_SPHINGOLIPID_METABOLISM"	-0.137847626323399	-0.147722427861191	-0.142050992545027	-0.102520218274146	-0.0950846966750703	-0.0948531721962528
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES"	-0.219500612310021	-0.236599268565679	-0.235015835283033	-0.205938389959259	-0.192194628875288	-0.217923234240856
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES"	-0.263245755265777	-0.261919480520584	-0.274792797067937	-0.150475424714541	-0.160003370659535	-0.135156969350373
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES"	-0.188071874840135	-0.184111683944028	-0.192209405108097	-0.163530739274179	-0.169159378328789	-0.155010536419898
"KEGG_RIBOFLAVIN_METABOLISM"	-0.00454519805025337	-0.00857684867254908	-0.0103810744043916	0.0382292497062305	0.0358788938013375	0.0328620442909878
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM"	-0.00195025368785143	0.0131748249553656	0.000408070770464171	0.0115678847298238	0.0169787054329852	0.00889392006513804
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS"	0.0604791395610196	0.0584300841824231	0.060755862025232	0.0337845200333293	0.0230404001230395	0.0159622599438487
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS"	0.0424814696115123	0.0511902018672287	0.0419665054167914	-0.0594578360589701	-0.0440236983839526	-0.0594585310814514
"KEGG_BASAL_TRANSCRIPTION_FACTORS"	0.201929128495153	0.197143918163694	0.197207092083053	0.164503135533507	0.17226318323152	0.160276082142302
"KEGG_NON_HOMOLOGOUS_END_JOINING"	0.140166349906388	0.131505680561003	0.127394689877965	0.145131417181332	0.146849432649001	0.148663352559793
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT"	0.0787155302376205	0.0739086221847236	0.0750693876141911	0.10098956295228	0.0969827953045491	0.0972155474427825
"KEGG_LYSOSOME"	0.00672262803650246	0.00483895818694232	0.00805956813571128	0.0319844894670226	0.0383168437848257	0.0368086071157771
